run_id,round,kind,started_utc,started_local,elapsed_s,powder_id,display,batch,blocks,battery_version,status,qc_valid,qc_verdict,qc_reason,preflight_verdict,preflight_mg_per_rev_fw,preflight_per_rev_mg,preflight_tilt_deg,preflight_rpm,read_path,location,n_doses,env_shock_events,env_retries,env_unsettled_brackets,caveat,issue116_comments,commit,first_commit,data_dir
20260804T204316Z_brown-rice-flour,1,battery,2026-08-04T20:43:16.183255+00:00,,,brown-rice-flour,Brown rice flour,food-safe-2026-08,ABCDEFG,1,ok,False,no-conveyance-auger-suspect,"Rotation conveyed essentially zero mass at every tilt (total ~5 mg over 64 trials). Outlet tape and coupler slip are both ruled out by operator video and bench observation; an off-rig hand test of the same flour delivered 0.0019 g over 20 rotations, reproducing the result with no rig involved. The measurement is sound; the open question is powder-vs-auger-print, so it stays out of the cross-powder comparison pending a re-test in a fresh auger.",,,,,,read_stable,lab_pre_hood,3,,,,,,,48cdc7b 2026-08-04,data/battery/20260804T204316Z_brown-rice-flour
20260804T211422Z_white-rice-flour,1,battery,2026-08-04T21:14:22.351081+00:00,,,white-rice-flour,White rice flour,food-safe-2026-08,ABCDEFG,1,ok,True,ok,"Every block delivered measurable mass with zero lowflow-flagged trials. Rotation is monotonic in tilt (3.8 / 12.8 / 37.2 mg per 360 deg revolution at 0 / 45 / 90 deg) and monotonic in auger speed (19.1 / 24.1 / 37.0 mg per revolution at 15 / 45 / 90 RPM), which is conveying behaviour rather than the flat-zero no-feed signature of the 2026-08-04 brown-rice-flour run. A pre-run bench check at tilt 90 deg delivered 0.1889 g over 5 revolutions before the battery started.",feed confirmed,,,90.0,,read_stable,lab_pre_hood,3,,,,,,,6000fe2 2026-08-04,data/battery/20260804T211422Z_white-rice-flour
20260804T224937Z_brown-rice-flour,1,battery,2026-08-04T22:49:37.985918+00:00,,,brown-rice-flour,Brown rice flour,food-safe-2026-08,ABCDEFG,1,ok,False,no-conveyance-auger-suspect,"Near-zero conveyance confirmed off-rig: 20 hand rotations delivered 0.0019 g (0.095 mg/rev), reproducing the rig's 0.03-0.075 mg/rev with no coupler or cap in the loop. Drive train and outlet blockage are excluded. Held out of the cross-powder comparison only because powder-vs-auger-print is unresolved pending a re-test in a fresh auger.",no-conveyance,,,90.0,,read_stable,lab_pre_hood,3,,,,,,,533f581 2026-08-04,data/battery/20260804T224937Z_brown-rice-flour
20260805T145725Z_sodium-alginate,1,battery,2026-08-05T14:57:25.298344+00:00,,,sodium-alginate,Sodium alginate,food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed,,,90.0,,read_stable,lab_pre_hood,3,,,,,,,ab1f5ed 2026-08-05,data/battery/20260805T145725Z_sodium-alginate
20260805T185305Z_brown-rice-flour,1,battery,2026-08-05T18:53:05.644181+00:00,,427.6,brown-rice-flour,Brown rice flour,food-safe-2026-08,ABCDEFG,1,ok,True,conveying-slowly,,conveying-slowly,,,,,read_stable,lab_pre_hood,3,,,,,,,b4945d3 2026-08-05,data/battery/20260805T185305Z_brown-rice-flour
20260805T200002Z_calcium-lactate,1,battery,2026-08-05T20:00:02.433141+00:00,,1162.5,calcium-lactate,Calcium lactate,food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed,244.9,244.2;241.4;246.9;245.1;246.9,90,30,read_stable,lab_pre_hood,3,,,,,,,8f700c1 2026-08-05,data/battery/20260805T200002Z_calcium-lactate
20260805T211216Z_carboxymethyl-cellulose_preflight,1,preflight-only,2026-08-05T21:12:16Z,,,carboxymethyl-cellulose,,,,,,False,aborted-before-battery,,empty-or-blocked,,0.0;0.0;0.0;0.0;0.0,90.0,30.0,,lab_pre_hood,0,,,,,,,3aed5b6 2026-08-05,data/battery/20260805T211216Z_carboxymethyl-cellulose_preflight
20260805T215252Z_carboxymethyl-cellulose,1,battery,2026-08-05T21:52:52.010546+00:00,2026-08-05 15:52:52 MDT,2412.1,carboxymethyl-cellulose,CMC,food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed after extended charging,,,,,read_stable,lab_pre_hood,3,,,,,,,1dde795 2026-08-05,data/battery/20260805T215252Z_carboxymethyl-cellulose
20260806T140254Z_xanthan-gum,1,battery,2026-08-06T14:02:54.080499+00:00,2026-08-06 08:02:54 MDT,972.4,xanthan-gum,Xanthan gum,food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed,170.78,125.2;152.2;160.3;266.5;149.7,90,30,read_stable,lab_pre_hood,3,,,,,,,3f48ff0 2026-08-06,data/battery/20260806T140254Z_xanthan-gum
20260806T145120Z_salt,1,battery,2026-08-06T14:51:20.847638+00:00,2026-08-06 08:51:20 MDT,997.5,salt,NaCl (control),food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed,13.12,20.7;12.5;12.0;10.8;9.6,90,30,read_stable,lab_pre_hood,3,,,,,,,464dfd5 2026-08-06,data/battery/20260806T145120Z_salt
20260811T183043Z_alsi10mg,1,battery,2026-08-11T18:30:43.564056+00:00,2026-08-11 12:30:43 MDT,1344.8,alsi10mg,AlSi10Mg,metal-2026-08,ABCDEFG,1,ok,False,no-tilt-servo-fault,tilt actuator (servos) inoperative; plate fixed at 0 deg for entire run,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,3,,,,,,,bd74176 2026-08-11,data/battery/20260811T183043Z_alsi10mg
20260812T215154Z_salt,1,battery,2026-08-12T21:51:54.498951+00:00,2026-08-12 15:51:54 MDT,913.3,salt,NaCl (control),food-safe-2026-08,ABCDEFG,1,ok,True,ok,,feed confirmed,242.88,,90,30,read_stable,shared_fume_hood,3,,,,,,,ada4db7 2026-08-12,data/battery/20260812T215154Z_salt
20260820T175631Z_salt,1,battery,2026-08-20T17:56:31Z,,1659.2,salt,NaCl (control),food-safe-2026-08,ABCDE,2,truncated,False,environment-stress-test,,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,0,,,,,,,b4ef8b8 2026-08-20,data/battery/20260820T175631Z_salt
20260820T192224Z_sodium-sulfate,1,battery,2026-08-20T19:22:24.995883+00:00,,790.1,sodium-sulfate,Sodium sulfate,inorganic-2026-08,ABCDE,2,ok,True,ok,,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,0,20,3,82,,,,2890bbf 2026-08-20,data/battery/20260820T192224Z_sodium-sulfate
