powder_id,batch,ff0_mg_per_rev,ff45_mg_per_rev,ff90_mg_per_rev,tap45_mg_per_tap,speed_slope_pct,blockG_mean_err_mg,blockG_outcome,blockH_err200_mg,blockH_err50_mg,conveys,source_runs,notes
salt,food-safe-2026-08,36.15,160.92,247.80,0.91,-47,-4.1,ok,2.8,4.2,True,2026-08-12 + 2026-08-21 (feed pooled) / 2026-09-03 (H),feed factors are the mean of the two valid post-08-06 runs; 08-06 run superseded (under-filled auger)
white-rice-flour,food-safe-2026-08,3.75,12.78,37.15,0.11,,-137.9,ok,-4.9,-4.7,True,2026-08-04 / 2026-09-04 (H),
brown-rice-flour,food-safe-2026-08,0.30,0.25,0.20,,,-999.1,no-conveyance,,,False,2026-08-05 auger2 (valid conveying-slowly),excluded from further dose runs; anchors the non-conveying end
sodium-alginate,food-safe-2026-08,0.75,9.58,10.87,0.24,17,-291.5,ok,-101.5,-19.6,True,2026-08-05 / 2026-09-09 (H),lowest conveying of the dosing set; budget-limited dosing regime
calcium-lactate,food-safe-2026-08,47.32,198.28,232.25,20.36,-33,-26.5,ok,-6.9,9.9,True,2026-08-05 / 2026-09-09 (H capture-interrupted but qc ok),largest tap quantum in the set
carboxymethyl-cellulose,food-safe-2026-08,2.58,26.35,9.35,0.15,23,-43.2,ok,-22.6,-2.2,True,2026-08-05 / 2026-09-08 (H second run; first invalid outlet-misaligned),ff45 > ff90 (only powder where tilt hurts)
xanthan-gum,food-safe-2026-08,23.72,161.18,186.77,13.61,-55,-32.9,ok,2.9,17.8,True,2026-08-06 / 2026-09-04 (H),strongest negative speed dependence
sodium-sulfate,metal-2026-08,51.20,208.40,243.55,,-48,-4.2,ok,10.8,28.9,True,2026-08-20 / 2026-09-10 (GH),tap45 unresolved (noisy bench); approx 0.86 mg/tap at tilt 0 from H dose 6 (not comparable to the 45 deg column)
silicon-110-200,metal-2026-08,57.17,210.70,302.35,,-31,0.2,ok,9.8,1.1,True,2026-08-20 / 2026-09-15 (GH attempt 5),tap45 unresolved (noisy bench); first non-salt powder to pass all 1 g doses
silicon-325,metal-2026-08,0.00,0.00,1.20,,,-999.7,no-conveyance,-199.7,-50.0,False,2026-08-21 / 2026-09-10 (GH),controlled particle-size contrast with silicon-110-200; 17 of 18 block C revolutions at exactly 0.0000 g
alsi10mg,metal-2026-08,48.93,230.95,338.93,,-49,1.9,ok,-0.3,21.5,True,2026-08-21 (08-11 run invalid servo fault) / 2026-09-10 (GH),tap45 unresolved; highest feed factor; visible spread/dusting outside vessel
barium-chloride,metal-2026-08,23.28,184.70,200.38,2.13,,-884.8,caking-arch,-199.7,-48.8,True,2026-08-21 (A-E valid) / 2026-09-10 (GH invalid arching-no-feed),conveys when dry; G+H failed after humidity cycling caked the column; dried re-run owed
